what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_51",1392807357800
java.vm.info,sysinfo,,,"mixed mode, sharing",1392807357800
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1392807357800
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392807357800
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1392807357800
java.vm.specification.version,sysinfo,,,"1.7",1392807357800
java.vm.vendor,sysinfo,,,"Oracle Corporation",1392807357800
java.vm.version,sysinfo,,,"24.51-b03",1392807357800
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1392807377924
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1392807377983
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1392807378129
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1392807378187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392807381047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392807388412
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1392807390922
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1392807393404
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1392807394578
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1392807394613
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1392807395691
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1392807395732
